,temp,humidity,dew,wind,rain,solar_rad,pressure
4/5/2000,13.54,60.2,4.6,1.74,0.02,25.13,96.59
4/6/2000,17.88,43.48,2.41,2.1,0,24.69,96.04
4/7/2000,20.52,45.37,7.35,5.05,0.52,21.78,95.71
4/8/2000,16.61,61.96,7.37,4.13,0.08,23.54,96
4/9/2000,15.53,66.1,8.43,3.79,0.9,20.7,96.04
4/10/2000,15.54,67.9,8.66,2.69,1.44,22.66,96.39
4/11/2000,15.35,60.82,6.05,2.22,0.24,25.38,96.55
4/12/2000,15.6,56.46,4.79,2.58,0,25.87,96.05
4/13/2000,14.68,61.54,5.81,2.43,0,21.44,96.06
4/14/2000,15.73,64.26,8.22,3.91,1,23.6,96.19
4/15/2000,17.89,53.36,6.12,4.54,0.02,26.65,95.85
4/16/2000,15.24,62.96,7.75,5,4.09,15.71,96.19
4/17/2000,15.47,53.34,4,2.49,0,26.32,96.91
4/18/2000,15.79,54.49,4.34,2.99,0,28.38,97.02
4/19/2000,18.1,50.89,4.59,2.88,0,27.69,96.82
4/20/2000,19.59,52.97,7.37,2.15,0,28.44,96.7
4/21/2000,20.09,52.84,8.26,2.35,0,27.91,96.63
4/22/2000,17.3,65.53,9.58,3.28,0.34,27.37,96.93
4/23/2000,16.73,50.79,3.74,4.21,0,28.98,96.99
4/24/2000,17.41,55.69,6.43,3,0,28.97,96.5
4/25/2000,17.06,58.62,6.91,2.68,0.01,29.15,96.3
4/26/2000,14.88,64.75,7.38,3.22,0.76,16.73,96.35
4/27/2000,14.14,58.23,5.15,3.31,0.61,26.31,96.64
4/28/2000,14.84,54.17,3.71,2.45,0.01,29.42,96.45
4/29/2000,14.9,61.17,6.49,2.16,0.44,26.22,96.09
4/30/2000,14.3,70.94,8.24,2.96,1.44,20,96.02
5/1/2000,15.51,66.14,7.97,2.89,0.15,26.87,96.03
5/2/2000,17.62,61.86,8.34,2.2,0,29.05,95.8
5/3/2000,19.59,51.59,7.09,3.66,0.26,28.44,95.76
5/4/2000,19.06,52.11,7.07,4.22,0,27.92,96.02
5/5/2000,17.64,54.33,6.51,3.12,0.02,27.24,96.14
5/6/2000,16.3,65.37,8.58,3.53,5.19,24.66,96.07
5/7/2000,16.77,63.81,8.71,2.92,0.92,21.58,96.15
5/8/2000,16.47,68.48,9.71,2.7,1.62,21.38,96.27
5/9/2000,15.93,68.9,9.22,2.65,1.81,24.07,96.34
5/10/2000,17.61,59.45,7.97,2.22,0,24.36,96.37
5/11/2000,18.29,59.22,8.72,3.2,0,28.94,96.31
5/12/2000,20.33,59.34,10.79,3.32,0,30.26,96.33
5/13/2000,21.19,58.74,11.15,3.76,0,30.64,96.39
5/14/2000,22.71,56.54,11.14,3.47,0,29.63,96.17
5/15/2000,21.75,62.25,12.94,3.22,0.06,26.52,96.19
5/16/2000,21.68,62.78,13.06,3.15,0,20.41,96.37
5/17/2000,22.27,61.29,12.88,2.71,0,29.64,96.36
5/18/2000,22.19,59.52,12.12,2.27,0,25.77,96.26
5/19/2000,22.14,58.42,11.65,2.75,0,26.36,96.15
5/20/2000,19.26,64.05,11.52,3.24,0.01,19.88,96.09
5/21/2000,18.86,58,8.9,2.88,0.03,29.32,96.19
5/22/2000,20.02,56.01,8.74,2.59,0,31.04,96.41
5/23/2000,19.16,63.49,10.8,3.23,5.43,23.51,96.71
5/24/2000,19.26,62.83,10.67,3.7,0.37,27.4,96.97
5/25/2000,20.71,58.44,10.99,4.23,0.07,31.13,96.91
5/26/2000,22,56.99,11.29,3.68,0,30.53,96.76
5/27/2000,23.06,55.72,11.54,3.76,0,30.96,96.66
5/28/2000,24.03,50.13,11.02,3.26,0,31.54,96.72
5/29/2000,25.55,39.46,8.13,2.88,0,31.07,96.65
5/30/2000,27.06,39.1,9.17,2.15,0,31.44,96.56
5/31/2000,27.45,39.35,9.87,2.49,0,30.54,96.5
6/1/2000,29.47,25.56,5.21,2.23,0,29.52,96.57
6/2/2000,30.93,24.54,5.94,2.2,0,26.83,96.38
6/3/2000,27.78,39.54,11.61,3.07,0.08,28.32,96.21
6/4/2000,26.39,46.42,11.8,3.04,0,30.36,96.41
6/5/2000,27.68,38.22,10.59,3.42,0,15.05,96.49
6/6/2000,28.54,27.21,4.47,2.91,0,27.01,96.42
6/7/2000,31,22.45,5,2.39,0,24.59,96.25
6/8/2000,27.38,39.85,9.98,3.44,0,29.83,96.28
6/9/2000,23.3,51.83,10.76,3.36,0,30.54,96.82
6/10/2000,21.19,43.2,5.45,4.85,0,31.53,97.15
6/11/2000,21.75,41.69,5.84,4.94,0,31.56,97.08
6/12/2000,25.51,40.71,7.46,3.3,0,29.09,96.59
